# sf,power,energy,firstSentPacket,packetColid,packetTotalLost
7,20,47.4019,3046,0,0
11,20,47.4039,3047,0,0
12,20,47.4268,3048,0,0
8,20,47.4726,3049,0,0
11,20,47.4761,3050,0,0
11,20,47.4990,3051,0,0
10,20,47.5219,3052,0,0
9,20,47.5348,3053,0,0
12,20,47.5412,3054,0,0
9,20,47.5870,3055,0,0
9,20,47.5935,3056,0,0
7,20,47.5999,3057,0,0
11,20,47.6019,3058,0,0
10,20,47.6248,3059,0,0
9,20,47.6376,3060,0,0
12,20,47.6441,3061,0,0
8,20,47.6899,3062,0,0
10,20,47.6934,3063,0,0
11,20,47.7063,3064,0,0
7,20,47.7292,3065,0,0
11,20,47.7312,3066,0,0
8,20,47.7541,3067,0,0
11,20,47.7576,3068,0,0
11,20,47.7805,3069,0,0
11,20,47.8034,3070,0,0
12,20,47.8263,3071,0,0
11,20,47.8721,3072,0,0
7,20,47.8950,3073,0,0
8,20,47.8970,3074,0,0
11,20,47.9006,3075,0,0
7,20,47.9235,3076,0,0
8,20,47.9254,3077,0,0
7,20,47.9290,3078,0,0
9,20,47.9310,3079,0,0
11,20,47.9374,3080,0,0
12,20,47.9603,3081,0,0
7,20,48.0061,3082,0,0
12,20,48.0081,3083,0,0
12,20,48.0538,3084,0,0
11,20,48.0996,3085,0,0
8,20,48.1225,3086,0,0
7,20,48.1261,3087,0,0
7,20,48.1281,3088,0,0
7,20,48.1300,3089,0,0
12,20,48.1320,3090,0,0
10,20,48.1778,3091,0,0
11,20,48.1907,3092,0,0
12,20,48.2136,3093,0,0
8,20,48.2594,3094,0,0
9,20,48.2629,3095,0,0
10,20,48.2694,3096,0,0
11,20,48.2822,3097,0,0
7,20,48.3051,3098,0,0
7,20,48.3071,3099,0,0
11,20,48.3091,3100,0,0
9,20,48.3320,3101,0,0
10,20,48.3384,3102,0,0
7,20,48.3513,3103,0,0
8,20,48.3532,3104,0,0
7,20,48.3568,3105,0,0
12,20,48.3588,3106,0,0
7,20,48.4046,3107,0,0
10,20,48.4065,3108,0,0
10,20,48.4194,3109,0,0
10,20,48.4323,3110,0,0
10,20,48.4452,3111,0,0
11,20,48.4580,3112,0,0
11,20,48.4809,3113,0,0
7,20,48.5038,3114,0,0
10,20,48.5058,3115,0,0
10,20,48.5187,3116,0,0
7,20,48.5315,3117,0,0
10,20,48.5335,3118,0,0
10,20,48.5464,3119,0,0
8,20,48.5592,3120,0,0
11,20,48.5628,3121,0,0
9,20,48.5857,3122,0,0
8,20,48.5921,3123,0,0
11,20,48.5957,3124,0,0
10,20,48.6186,3125,0,0
8,20,48.6315,3126,0,0
12,20,48.6351,3127,0,0
11,20,48.6809,3128,0,0
7,20,48.7038,3129,0,0
9,20,48.7057,3130,0,0
9,20,48.7122,3131,0,0
8,20,48.7186,3132,0,0
12,20,48.7222,3133,0,0
9,20,48.7680,3134,0,0
11,20,48.7744,3135,0,0
8,20,48.7973,3136,0,0
10,20,48.8009,3137,0,0
10,20,48.8137,3138,0,0
8,20,48.8266,3139,0,0
10,20,48.8302,3140,0,0
9,20,48.8430,3141,0,0
10,20,48.8495,3142,0,0
11,20,48.8624,3143,0,0
10,20,48.8853,3144,0,0
10,20,48.8981,3145,0,0
10,20,48.9110,3146,0,0
9,20,48.9239,3147,0,0
9,20,48.9303,3148,0,0
10,20,48.9367,3149,0,0
9,20,48.9496,3150,0,0
8,20,48.9560,3151,0,0
10,20,48.9596,3152,0,0
10,20,48.9725,3153,0,0
11,20,48.9854,3154,0,0
8,20,49.0083,3155,0,0
11,20,49.0118,3156,0,0
7,20,49.0347,3157,0,0
11,20,49.0367,3158,0,0
11,20,49.0596,3159,0,0
8,20,49.0825,3160,0,0
10,20,49.0861,3161,0,0
9,20,49.0989,3162,0,0
10,20,49.1054,3163,0,0
10,20,49.1182,3164,0,0
8,20,49.1311,3165,0,0
11,20,49.1347,3166,0,0
7,20,49.1576,3167,0,0
7,20,49.1595,3168,0,0
12,20,49.1615,3169,0,0
10,20,49.2073,3170,0,0
7,20,49.2202,3171,0,0
11,20,49.2221,3172,0,0
11,20,49.2450,3173,0,0
11,20,49.2679,3174,0,0
11,20,49.2908,3175,0,0
12,20,49.3137,3176,0,0
9,20,49.3595,3177,0,0
9,20,49.3660,3178,0,0
11,20,49.3724,3179,0,0
11,20,49.3953,3180,0,0
11,20,49.4182,3181,0,0
11,20,49.4411,3182,0,0
8,20,49.4640,3183,0,0
10,20,49.4676,3184,0,0
8,20,49.4804,3185,0,0
9,20,49.4840,3186,0,0
11,20,49.4904,3187,0,0
7,20,49.5133,3188,0,0
11,20,49.5153,3189,0,0
11,20,49.5382,3190,0,0
12,20,49.5611,3191,0,0
9,20,49.6069,3192,0,0
11,20,49.6133,3193,0,0
12,20,49.6362,3194,0,0
10,20,49.6820,3195,0,0
11,20,49.6949,3196,0,0
11,20,49.7178,3197,0,0
12,20,49.7407,3198,0,0
9,20,49.7865,3199,0,0
9,20,49.7929,3200,0,0
8,20,49.7994,3201,0,0
10,20,49.8029,3202,0,0
9,20,49.8158,3203,0,0
9,20,49.8222,3204,0,0
11,20,49.8287,3205,0,0
11,20,49.8516,3206,0,0
9,20,49.8745,3207,0,0
11,20,49.8809,3208,0,0
11,20,49.9038,3209,0,0
10,20,49.9267,3210,0,0
9,20,49.9396,3211,0,0
11,20,49.9460,3212,0,0
10,20,49.9689,3213,0,0
8,20,49.9818,3214,0,0
11,20,49.9854,3215,0,0
7,20,50.0082,3216,0,0
7,20,50.0102,3217,0,0
10,20,50.0122,3218,0,0
12,20,50.0250,3219,0,0
10,20,50.0708,3220,0,0
11,20,50.0837,3221,0,0
9,20,50.1066,3222,0,0
11,20,50.1130,3223,0,0
9,20,50.1359,3224,0,0
12,20,50.1424,3225,0,0
8,20,50.1882,3226,0,0
11,20,50.1918,3227,0,0
12,20,50.2146,3228,0,0
11,20,50.2604,3229,0,0
8,20,50.2833,3230,0,0
12,20,50.2869,3231,0,0
11,20,50.3327,3232,0,0
7,20,50.3556,3233,0,0
9,20,50.3576,3234,0,0
11,20,50.3640,3235,0,0
11,20,50.3869,3236,0,0
11,20,50.4098,3237,0,0
12,20,50.4327,3238,0,0
11,20,50.4785,3239,0,0
8,20,50.5014,3240,0,0
11,20,50.5050,3241,0,0
11,20,50.5279,3242,0,0
11,20,50.5508,3243,0,0
12,20,50.5737,3244,0,0
7,20,50.6195,3245,0,0
8,20,50.6214,3246,0,0
7,20,50.6250,3247,0,0
9,20,50.6270,3248,0,0
10,20,50.6334,3249,0,0
8,20,50.6463,3250,0,0
7,20,50.6498,3251,0,0
10,20,50.6518,3252,0,0
11,20,50.6647,3253,0,0
10,20,50.6876,3254,0,0
8,20,50.7004,3255,0,0
9,20,50.7040,3256,0,0
9,20,50.7105,3257,0,0
10,20,50.7169,3258,0,0
10,20,50.7298,3259,0,0
12,20,50.7426,3260,0,0
12,20,50.7884,3261,0,0
7,20,50.8342,3262,0,0
8,20,50.8362,3263,0,0
10,20,50.8398,3264,0,0
9,20,50.8526,3265,0,0
8,20,50.8591,3266,0,0
7,20,50.8626,3267,0,0
12,20,50.8646,3268,0,0
10,20,50.9104,3269,0,0
9,20,50.9233,3270,0,0
10,20,50.9297,3271,0,0
12,20,50.9426,3272,0,0
8,20,50.9884,3273,0,0
7,20,50.9919,3274,0,0
9,20,50.9939,3275,0,0
10,20,51.0003,3276,0,0
7,20,51.0132,3277,0,0
10,20,51.0152,3278,0,0
8,20,51.0281,3279,0,0
12,20,51.0316,3280,0,0
11,20,51.0774,3281,0,0
11,20,51.1003,3282,0,0
11,20,51.1232,3283,0,0
10,20,51.1461,3284,0,0
10,20,51.1590,3285,0,0
12,20,51.1719,3286,0,0
10,20,51.2177,3287,0,0
7,20,51.2305,3288,0,0
11,20,51.2325,3289,0,0
11,20,51.2554,3290,0,0
10,20,51.2783,3291,0,0
10,20,51.2912,3292,0,0
7,20,51.3040,3293,0,0
12,20,51.3060,3294,0,0
10,20,51.3518,3295,0,0
7,20,51.3647,3296,0,0
11,20,51.3666,3297,0,0
8,20,51.3895,3298,0,0
12,20,51.3931,3299,0,0
10,20,51.4389,3300,0,0
7,20,51.4518,3301,0,0
9,20,51.4537,3302,0,0
10,20,51.4602,3303,0,0
11,20,51.4730,3304,0,0
10,20,51.4959,3305,0,0
11,20,51.5088,3306,0,0
9,20,51.5317,3307,0,0
8,20,51.5381,3308,0,0
9,20,51.5417,3309,0,0
10,20,51.5481,3310,0,0
12,20,51.5610,3311,0,0
8,20,51.6068,3312,0,0
9,20,51.6104,3313,0,0
8,20,51.6168,3314,0,0
11,20,51.6204,3315,0,0
11,20,51.6433,3316,0,0
11,20,51.6662,3317,0,0
8,20,51.6891,3318,0,0
11,20,51.6927,3319,0,0
